"filename", "language", "Ruby", "Docker", "Markdown", "HTML", "XML", "YAML", "erb", "PostCSS", "JavaScript", "comment", "blank", "total"
"/home/rirds/spotsteam/db/migrate/20251205140412_change_stat_value_to_bigint_in_game_stats.rb", "Ruby", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"/home/rirds/spotsteam/db/migrate/20251225145424_add_constraints_to_users.rb", "Ruby", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"/home/rirds/spotsteam/db/queue_schema.rb", "Ruby", 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 130
"/home/rirds/spotsteam/db/schema.rb", "Ruby", 84, 0, 0, 0, 0, 0, 0, 0, 0, 12, 10, 106
"/home/rirds/spotsteam/db/seeds.rb", "Ruby", 152, 0, 0, 0, 0, 0, 0, 0, 0, 21, 17, 190
"/home/rirds/spotsteam/public/400.html", "HTML", 0, 0, 0, 85, 0, 0, 0, 0, 0, 1, 29, 115
"/home/rirds/spotsteam/public/404.html", "HTML", 0, 0, 0, 85, 0, 0, 0, 0, 0, 1, 29, 115
"/home/rirds/spotsteam/public/406-unsupported-browser.html", "HTML", 0, 0, 0, 85, 0, 0, 0, 0, 0, 1, 29, 115
"/home/rirds/spotsteam/public/422.html", "HTML", 0, 0, 0, 85, 0, 0, 0, 0, 0, 1, 29, 115
"/home/rirds/spotsteam/public/500.html", "HTML", 0, 0, 0, 85, 0, 0, 0, 0, 0, 1, 29, 115
"/home/rirds/spotsteam/public/icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"/home/rirds/spotsteam/spec/jobs/fetch_game_stats_job_spec.rb", "Ruby", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/rirds/spotsteam/spec/models/user_spec.rb", "Ruby", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"/home/rirds/spotsteam/spec/rails_helper.rb", "Ruby", 17, 0, 0, 0, 0, 0, 0, 0, 0, 49, 7, 73
"/home/rirds/spotsteam/spec/spec_helper.rb", "Ruby", 9, 0, 0, 0, 0, 0, 0, 0, 0, 80, 4, 93
"Total", "-", 1435, 31, 51, 425, 3, 150, 836, 1160, 16, 660, 873, 5640
